year,state_name,county_name,yield
2000,TEXAS,STEPHENS,24.0
2000,TEXAS,STERLING,20.0
2000,TEXAS,STONEWALL,27.2
2000,TEXAS,SWISHER,19.1
2000,TEXAS,TARRANT,25.6
2000,TEXAS,TAYLOR,19.3
2000,TEXAS,TERRY,29.5
2000,TEXAS,THROCKMORTON,19.0
2000,TEXAS,TOM GREEN,28.3
2000,TEXAS,TRAVIS,22.8
2000,TEXAS,TRINITY,0.0
2000,TEXAS,UPTON,29.0
2000,TEXAS,UVALDE,25.9
2000,TEXAS,VAN ZANDT,37.5
2000,TEXAS,VICTORIA,18.3
2000,TEXAS,WHEELER,18.7
2000,TEXAS,WICHITA,23.6
2000,TEXAS,WILBARGER,24.6
2000,TEXAS,WILLIAMSON,30.0
2000,TEXAS,WILSON,24.0
2000,TEXAS,WISE,31.0
2000,TEXAS,WOOD,33.3
2000,TEXAS,YOAKUM,35.0
2000,TEXAS,YOUNG,18.6
2000,TEXAS,ZAVALA,14.4
2000,WASHINGTON,ADAMS,105.4
2000,WASHINGTON,ASOTIN,101.2
2000,WASHINGTON,BENTON,65.4
2000,WASHINGTON,COLUMBIA,155.3
2000,WASHINGTON,DOUGLAS,73.8
2000,WASHINGTON,FRANKLIN,124.1
2000,WASHINGTON,GARFIELD,123.0
2000,WASHINGTON,GRANT,162.9
2000,WASHINGTON,KLICKITAT,73.4
2000,WASHINGTON,LINCOLN,126.60000000000001
2000,WASHINGTON,OKANOGAN,92.0
2000,WASHINGTON,SKAGIT,95.2
2000,WASHINGTON,SPOKANE,126.2
2000,WASHINGTON,STEVENS,111.0
2000,WASHINGTON,WALLA WALLA,149.2
2000,WASHINGTON,WHATCOM,71.7
2000,WASHINGTON,WHITMAN,157.3
2000,WASHINGTON,YAKIMA,127.30000000000001
2001,KANSAS,ALLEN,49.0
2001,KANSAS,ANDERSON,53.0
2001,KANSAS,ATCHISON,45.0
2001,KANSAS,BARBER,38.0
2001,KANSAS,BARTON,39.0
2001,KANSAS,BOURBON,52.0
2001,KANSAS,BROWN,44.0
2001,KANSAS,BUTLER,44.0
2001,KANSAS,CHASE,39.0
2001,KANSAS,CHAUTAUQUA,43.0
2001,KANSAS,CHEROKEE,46.0
2001,KANSAS,CHEYENNE,37.0
2001,KANSAS,CLARK,37.0
2001,KANSAS,CLAY,44.0
2001,KANSAS,CLOUD,39.0
2001,KANSAS,COFFEY,51.0
2001,KANSAS,COMANCHE,34.0
2001,KANSAS,COWLEY,47.0
2001,KANSAS,CRAWFORD,48.0
2001,KANSAS,DECATUR,41.0
2001,KANSAS,DICKINSON,47.0
2001,KANSAS,DONIPHAN,40.0
2001,KANSAS,DOUGLAS,42.0
2001,KANSAS,EDWARDS,39.0
2001,KANSAS,ELK,39.0
2001,KANSAS,ELLIS,32.0
2001,KANSAS,ELLSWORTH,41.0
2001,KANSAS,FINNEY,41.0
2001,KANSAS,FORD,32.0
2001,KANSAS,FRANKLIN,55.0
2001,KANSAS,GEARY,50.0
2001,KANSAS,GOVE,34.0
2001,KANSAS,GRAHAM,43.0
2001,KANSAS,GRANT,41.0
2001,KANSAS,GRAY,36.0
2001,KANSAS,GREELEY,33.0
2001,KANSAS,GREENWOOD,43.0
2001,KANSAS,HAMILTON,45.0
2001,KANSAS,HARPER,38.0
2001,KANSAS,HARVEY,44.0
2001,KANSAS,HASKELL,43.0
2001,KANSAS,HODGEMAN,32.0
2001,KANSAS,JACKSON,49.0
2001,KANSAS,JEFFERSON,56.0
2001,KANSAS,JEWELL,37.0
2001,KANSAS,JOHNSON,52.0
2001,KANSAS,KEARNY,45.0
2001,KANSAS,KINGMAN,37.0
2001,KANSAS,KIOWA,35.0
2001,KANSAS,LABETTE,37.0
2001,KANSAS,LANE,35.0
2001,KANSAS,LEAVENWORTH,40.0
2001,KANSAS,LINCOLN,39.0
2001,KANSAS,LINN,54.0
2001,KANSAS,LOGAN,32.0
2001,KANSAS,LYON,44.0
2001,KANSAS,MARION,44.0
2001,KANSAS,MARSHALL,43.0
2001,KANSAS,MCPHERSON,41.0
2001,KANSAS,MEADE,40.0
2001,KANSAS,MIAMI,55.0
2001,KANSAS,MITCHELL,39.0
2001,KANSAS,MONTGOMERY,41.0
2001,KANSAS,MORRIS,38.0
2001,KANSAS,MORTON,44.0
2001,KANSAS,NEMAHA,46.0
2001,KANSAS,NEOSHO,43.0
2001,KANSAS,NESS,30.0
2001,KANSAS,NORTON,40.0
2001,KANSAS,OSAGE,51.0
2001,KANSAS,OSBORNE,34.0
2001,KANSAS,OTTAWA,41.0
2001,KANSAS,PAWNEE,36.0
2001,KANSAS,PHILLIPS,43.0
2001,KANSAS,POTTAWATOMIE,50.0
2001,KANSAS,PRATT,48.0
2001,KANSAS,RAWLINS,43.0
2001,KANSAS,RENO,37.0
2001,KANSAS,REPUBLIC,44.0
2001,KANSAS,RICE,44.0
2001,KANSAS,RILEY,46.0
2001,KANSAS,ROOKS,38.0
2001,KANSAS,RUSH,34.0
2001,KANSAS,RUSSELL,36.0
2001,KANSAS,SALINE,42.0
2001,KANSAS,SCOTT,38.0
2001,KANSAS,SEDGWICK,40.0
2001,KANSAS,SEWARD,38.0
2001,KANSAS,SHAWNEE,47.0
2001,KANSAS,SHERIDAN,40.0
2001,KANSAS,SHERMAN,35.0
2001,KANSAS,SMITH,37.0
2001,KANSAS,STAFFORD,38.0
2001,KANSAS,STANTON,52.0
2001,KANSAS,STEVENS,47.0
2001,KANSAS,SUMNER,40.0
2001,KANSAS,THOMAS,44.0
2001,KANSAS,TREGO,37.0
2001,KANSAS,WABAUNSEE,46.0
2001,KANSAS,WALLACE,33.0
2001,KANSAS,WASHINGTON,43.0
2001,KANSAS,WICHITA,43.0
2001,KANSAS,WILSON,49.0
2001,KANSAS,WOODSON,48.0
2001,KANSAS,WYANDOTTE,40.0
2001,MONTANA,BEAVERHEAD,74.0
2001,MONTANA,BIG HORN,50.0
2001,MONTANA,BLAINE,45.0
2001,MONTANA,BROADWATER,68.0
2001,MONTANA,CARBON,26.0
2001,MONTANA,CARTER,57.0
2001,MONTANA,CASCADE,50.0
2001,MONTANA,CHOUTEAU,38.0
2001,MONTANA,CUSTER,24.0
2001,MONTANA,DANIELS,44.0
2001,MONTANA,DAWSON,87.0
2001,MONTANA,FALLON,82.0
2001,MONTANA,FERGUS,70.0
2001,MONTANA,FLATHEAD,125.0
2001,MONTANA,GALLATIN,102.0
2001,MONTANA,GARFIELD,45.0
2001,MONTANA,GLACIER,49.0
2001,MONTANA,GOLDEN VALLEY,31.0
2001,MONTANA,HILL,35.0
2001,MONTANA,JEFFERSON,14.0
2001,MONTANA,JUDITH BASIN,75.0
2001,MONTANA,LAKE,93.0
2001,MONTANA,LEWIS AND CLARK,53.0
2001,MONTANA,LIBERTY,27.0
2001,MONTANA,MADISON,53.0
2001,MONTANA,MCCONE,83.0
2001,MONTANA,MEAGHER,46.0
2001,MONTANA,MINERAL,55.0
2001,MONTANA,MISSOULA,57.0
2001,MONTANA,MUSSELSHELL,35.0
2001,MONTANA,PARK,50.0
2001,MONTANA,PETROLEUM,16.0
2001,MONTANA,PHILLIPS,54.0
2001,MONTANA,PONDERA,52.0
2001,MONTANA,POWDER RIVER,49.0
2001,MONTANA,PRAIRIE,51.0
2001,MONTANA,RAVALLI,50.0
2001,MONTANA,RICHLAND,63.0
2001,MONTANA,ROOSEVELT,55.0
